	    106.428800       0.000000       0.000000
	      0.000000     106.428800       0.000000
	      0.000000       0.000000     106.428800
   2882 0   4.32367000e+01   5.32144000e+01   1.66295000e+01 0.0
   2883 0   4.32367000e+01   5.65403000e+01   1.33036000e+01 0.0
   2884 0   4.65626000e+01   5.32144000e+01   1.33036000e+01 0.0
   2885 0   4.65626000e+01   5.65403000e+01   1.66295000e+01 0.0
   2886 1   4.98885000e+01   5.32144000e+01   1.66295000e+01 0.0
   2887 0   4.98885000e+01   5.65403000e+01   1.33036000e+01 0.0
   2888 0   5.32144000e+01   5.32144000e+01   1.33036000e+01 0.0
   2889 0   5.32144000e+01   5.65403000e+01   1.66295000e+01 0.0
   2890 1   5.65403000e+01   5.32144000e+01   1.66295000e+01 0.0
   2891 1   5.65403000e+01   5.65403000e+01   1.33036000e+01 0.0
   2892 0   5.98662000e+01   5.32144000e+01   1.33036000e+01 0.0
   2893 1   5.98662000e+01   5.65403000e+01   1.66295000e+01 0.0
   2894 0   6.31921000e+01   5.32144000e+01   1.66295000e+01 0.0
   2895 1   6.31921000e+01   5.65403000e+01   1.33036000e+01 0.0
   2896 0   6.65180000e+01   5.32144000e+01   1.33036000e+01 0.0
   2897 0   6.65180000e+01   5.65403000e+01   1.66295000e+01 0.0
   2898 0   6.98439000e+01   5.32144000e+01   1.66295000e+01 0.0
   2899 0   6.98439000e+01   5.65403000e+01   1.33036000e+01 0.0
   2900 0   7.31698000e+01   5.32144000e+01   1.33036000e+01 0.0
   2901 1   7.31698000e+01   5.65403000e+01   1.66295000e+01 0.0
   2902 0   7.64957000e+01   5.32144000e+01   1.66295000e+01 0.0
   2903 0   7.64957000e+01   5.65403000e+01   1.33036000e+01 0.0
   2904 0   7.98216000e+01   5.32144000e+01   1.33036000e+01 0.0
   2905 1   7.98216000e+01   5.65403000e+01   1.66295000e+01 0.0
   2906 1   8.31475000e+01   5.32144000e+01   1.66295000e+01 0.0
   2907 0   8.31475000e+01   5.65403000e+01   1.33036000e+01 0.0
   2909 0   8.64734000e+01   5.65403000e+01   1.66295000e+01 0.0
   2938 0   2.32813000e+01   5.98662000e+01   1.66295000e+01 0.0
   2940 1   2.66072000e+01   5.98662000e+01   1.33036000e+01 0.0
   2941 0   2.66072000e+01   6.31921000e+01   1.66295000e+01 0.0
   2942 1   2.99331000e+01   5.98662000e+01   1.66295000e+01 0.0
   2943 1   2.99331000e+01   6.31921000e+01   1.33036000e+01 0.0
   2944 1   3.32590000e+01   5.98662000e+01   1.33036000e+01 0.0
   2945 0   3.32590000e+01   6.31921000e+01   1.66295000e+01 0.0
   2946 1   3.65849000e+01   5.98662000e+01   1.66295000e+01 0.0
   2947 1   3.65849000e+01   6.31921000e+01   1.33036000e+01 0.0
   2948 0   3.99108000e+01   5.98662000e+01   1.33036000e+01 0.0
   2949 1   3.99108000e+01   6.31921000e+01   1.66295000e+01 0.0
   2950 0   4.32367000e+01   5.98662000e+01   1.66295000e+01 0.0
   2951 1   4.32367000e+01   6.31921000e+01   1.33036000e+01 0.0
   2952 0   4.65626000e+01   5.98662000e+01   1.33036000e+01 0.0
   2953 0   4.65626000e+01   6.31921000e+01   1.66295000e+01 0.0
   2954 0   4.98885000e+01   5.98662000e+01   1.66295000e+01 0.0
   2955 1   4.98885000e+01   6.31921000e+01   1.33036000e+01 0.0
   2956 1   5.32144000e+01   5.98662000e+01   1.33036000e+01 0.0
   2957 0   5.32144000e+01   6.31921000e+01   1.66295000e+01 0.0
   2958 0   5.65403000e+01   5.98662000e+01   1.66295000e+01 0.0
   2959 0   5.65403000e+01   6.31921000e+01   1.33036000e+01 0.0
   2960 1   5.98662000e+01   5.98662000e+01   1.33036000e+01 0.0
   2961 1   5.98662000e+01   6.31921000e+01   1.66295000e+01 0.0
   2962 1   6.31921000e+01   5.98662000e+01   1.66295000e+01 0.0
   2963 1   6.31921000e+01   6.31921000e+01   1.33036000e+01 0.0
   2964 0   6.65180000e+01   5.98662000e+01   1.33036000e+01 0.0
   2965 0   6.65180000e+01   6.31921000e+01   1.66295000e+01 0.0
   2966 1   6.98439000e+01   5.98662000e+01   1.66295000e+01 0.0
   2967 1   6.98439000e+01   6.31921000e+01   1.33036000e+01 0.0
   2968 0   7.31698000e+01   5.98662000e+01   1.33036000e+01 0.0
   2969 1   7.31698000e+01   6.31921000e+01   1.66295000e+01 0.0
   2970 1   7.64957000e+01   5.98662000e+01   1.66295000e+01 0.0
   2971 0   7.64957000e+01   6.31921000e+01   1.33036000e+01 0.0
   2972 1   7.98216000e+01   5.98662000e+01   1.33036000e+01 0.0
   2973 1   7.98216000e+01   6.31921000e+01   1.66295000e+01 0.0
   2974 0   8.31475000e+01   5.98662000e+01   1.66295000e+01 0.0
   3006 0   2.32813000e+01   6.65180000e+01   1.66295000e+01 0.0
   3008 0   2.66072000e+01   6.65180000e+01   1.33036000e+01 0.0
   3009 1   2.66072000e+01   6.98439000e+01   1.66295000e+01 0.0
